	行    62: 05-30 11:28:42.175 32805 34200 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,723: [DEBUG] DIAG overlay: left(479,414) R=146 G=168 B=166  right(1439,414) R=0 G=0 B=0  err=0x0
	行   184: 05-30 11:28:42.235 32805 34200 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,723: [DEBUG] DIAG overlay: left(479,414) R=146 G=168 B=166  right(1439,414) R=0 G=0 B=0  err=0x0
	行   308: 05-30 11:28:42.293 32805 34200 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,723: [DEBUG] DIAG overlay: left(479,414) R=146 G=169 B=166  right(1439,414) R=0 G=0 B=0  err=0x0
	行   434: 05-30 11:28:42.350 32805 34200 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,723: [DEBUG] DIAG overlay: left(479,414) R=146 G=169 B=167  right(1439,414) R=0 G=0 B=0  err=0x0
	行   573: 05-30 11:28:42.398 32805 34200 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,723: [DEBUG] DIAG overlay: left(479,414) R=146 G=169 B=167  right(1439,414) R=0 G=0 B=0  err=0x0
	行   702: 05-30 11:28:42.452 32805 34200 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,723: [DEBUG] DIAG overlay: left(479,414) R=146 G=169 B=167  right(1439,414) R=0 G=0 B=0  err=0x0
	行   833: 05-30 11:28:42.509 32805 34200 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,723: [DEBUG] DIAG overlay: left(479,414) R=146 G=169 B=167  right(1439,414) R=0 G=0 B=0  err=0x0
	行   959: 05-30 11:28:42.553 32805 34200 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,723: [DEBUG] DIAG overlay: left(479,414) R=146 G=169 B=167  right(1439,414) R=0 G=0 B=0  err=0x0
	行  1088: 05-30 11:28:42.607 32805 34200 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,723: [DEBUG] DIAG overlay: left(479,414) R=146 G=169 B=167  right(1439,414) R=0 G=0 B=0  err=0x0
	行  1216: 05-30 11:28:42.663 32805 34200 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,723: [DEBUG] DIAG overlay: left(479,414) R=146 G=169 B=167  right(1439,414) R=0 G=0 B=0  err=0x0
	行  1338: 05-30 11:28:42.709 32805 34200 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,723: [DEBUG] DIAG overlay: left(479,414) R=146 G=169 B=167  right(1439,414) R=0 G=0 B=0  err=0x0
	行  1460: 05-30 11:28:42.761 32805 34200 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,723: [DEBUG] DIAG overlay: left(479,414) R=145 G=167 B=163  right(1439,414) R=0 G=0 B=0  err=0x0
	行  1600: 05-30 11:28:42.807 32805 34200 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,723: [DEBUG] DIAG overlay: left(479,414) R=148 G=170 B=163  right(1439,414) R=0 G=0 B=0  err=0x0
	行  1723: 05-30 11:28:42.859 32805 34200 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,723: [DEBUG] DIAG overlay: left(479,414) R=148 G=170 B=163  right(1439,414) R=0 G=0 B=0  err=0x0
行     3: 05-30 11:07:23.847 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,41226: [DEBUG] Depth overlay: selected best depth FBO=265 (draws=285, verts=855168)
